,Loudness,Duration_ms,Tempo,Energy,Acousticness,Speechiness,Valence,Danceability,Liveness,Instrumentalness,Key
Loudness,1.0,0.012063274186205565,0.1447661611256712,0.7448445555528433,-0.5476799302580233,0.03369863244674201,0.31157811545268904,0.35340769042687975,0.08706152945184333,-0.5454059422544243,0.02526578560976645
Duration_ms,0.012063274186205565,1.0,-0.013659557234233,0.02265963463807866,-0.02883394118065775,-0.05124831349519995,-0.05233083652872127,-0.08915932336614073,-0.004970080777676104,-0.007283877011729146,0.0031863144765217678
Tempo,0.1447661611256712,-0.013659557234233,1.0,0.15738282120693495,-0.1293665050572354,0.03755258422261267,0.09043182327354739,-0.06594322252635554,0.006669810341846401,-0.07673438003883883,0.0018549480935755368
Energy,0.7448445555528433,0.02265963463807866,0.15738282120693495,1.0,-0.6583041081996136,0.06531863773557099,0.38915788688190006,0.23659595746077183,0.17371732087576036,-0.3100582549867089,0.030160447997193515
Acousticness,-0.5476799302580233,-0.02883394118065775,-0.1293665050572354,-0.6583041081996136,1.0,-0.07759754767330497,-0.20081618189781836,-0.27943517998176043,-0.04092170901599276,0.2743786770460627,-0.030817516101291565
Speechiness,0.03369863244674201,-0.05124831349519995,0.03755258422261267,0.06531863773557099,-0.07759754767330497,1.0,0.05920406321722575,0.21037568425665476,0.08546340662645717,-0.10989517105624974,0.019778162642965096
Valence,0.31157811545268904,-0.05233083652872127,0.09043182327354739,0.38915788688190006,-0.20081618189781836,0.05920406321722575,1.0,0.46575597395935475,0.03190414067542137,-0.26978547910098905,0.04255894080462948
Danceability,0.35340769042687975,-0.08915932336614073,-0.06594322252635554,0.23659595746077183,-0.27943517998176043,0.21037568425665476,0.46575597395935475,1.0,-0.08448225808076673,-0.3186109619133603,0.03773503772189254
Liveness,0.08706152945184333,-0.004970080777676104,0.006669810341846401,0.17371732087576036,-0.04092170901599276,0.08546340662645717,0.03190414067542137,-0.08448225808076673,1.0,-0.06002142584388174,-0.011008075031597613
Instrumentalness,-0.5454059422544243,-0.007283877011729146,-0.07673438003883883,-0.3100582549867089,0.2743786770460627,-0.10989517105624974,-0.26978547910098905,-0.3186109619133603,-0.06002142584388174,1.0,0.0007466754407711074
Key,0.02526578560976645,0.0031863144765217678,0.0018549480935755368,0.030160447997193515,-0.030817516101291565,0.019778162642965096,0.04255894080462948,0.03773503772189254,-0.011008075031597613,0.0007466754407711074,1.0
